"id","belongs_to","name","nft_ip_id","image_url"
clu0nukl20005c41nc0gyhjme,"52b20f63-7dbe-4770-a5be-855e0987bf65",March Hare,"0x1581e84F9E11aEd5bA04A5D0433967EB9B23F1f9",https://arweave.net/gNQAAsPE07yqT-BlMIvBQ41BSuLOkRVZEaXdYtW5Qac
clu0nukl20006c41nhuq0b4fv,"52b20f63-7dbe-4770-a5be-855e0987bf65",Mock Turtle,"0x1FDABa5995576a061b637CDFeF1F0b2823642979",https://arweave.net/v8O3Oq9eDjBb0U2XWlk1pHjH9J278K4y5ejcicfTyI8
clu0nukl20007c41ndhrt43g0,"52b20f63-7dbe-4770-a5be-855e0987bf65",Mouse,"0x619116B05Dd76584e123753Ae22097f37008E126",https://arweave.net/i1Mvs-NC1PX1CwH9w3xjxJrDqEmIvTLVp3rtHQP27E4
clu0nukl20008c41n3ng4d4ol,"52b20f63-7dbe-4770-a5be-855e0987bf65",White Rabbit,"0xb5667Db309FB7B2DB1D16CD4679324f88D906105",https://arweave.net/SufberHzHKczRWarudLHw0gw6i826e4TJwiMGteZuCI
clu0qyhwh0000i71n1muhbi1c,"6c71b213-b704-4b44-ae54-050f16d74c67",Buck,"0xe1FD42479185b2BF6AFFEcf689f3F6C46A47954e",https://arweave.net/hM0Y-mlTGvFF3UBWX3YpaG6EuduzvE7E4rAoDKgTpmI
clu0qyhwi0001i71n3xwlf577,"6c71b213-b704-4b44-ae54-050f16d74c67",Huck,"0x77Bb9cb1d0F3177a3DdE397BDc0E7761151EC465",https://arweave.net/8GzLrw1OlS7wgDcLBytY6vASe4OZNEMJh-yAAVrPfVE
clu0qyhwi0002i71nbmxtek2g,"6c71b213-b704-4b44-ae54-050f16d74c67",Jim,"0xedF4D1de5BE4281722f8C92c646A3e3b3688Fbf6",https://arweave.net/wNoWN7StswBowCuHtRL-rJCzR_Z7UHDU9DFumw8K3rI
clu0qyhwi0003i71ngx27bp86,"6c71b213-b704-4b44-ae54-050f16d74c67",Mary_Jane,"0xdECBD7744188e048dc9f7eDb93839F97527b82bD",https://arweave.net/tVHnVCY3G2JnTRH182LhBtjcHPTXO974mEu1tUZ86zs
clu0qyhwi0004i71n97t2eaeo,"6c71b213-b704-4b44-ae54-050f16d74c67",pap,"0x0E372D30178dE9bd8F1b75311e742be40926eEa1",https://arweave.net/buJQtEMa73qJhI22OHYVXkTa_DT9RJjQLHX_YeSTt_I
clu0qyhwi0005i71n02quarvm,"6c71b213-b704-4b44-ae54-050f16d74c67",Sally,"0x866E9757e44bff0669968DE23215b09f4387ca1c",https://arweave.net/LlP6AKpXXceaKQQSBaH0KbPfFCuxHTe1AJ_7OMvnIyU
clu0qyhwi0006i71nbimvavtl,"6c71b213-b704-4b44-ae54-050f16d74c67",Watson,"0x6ae18549E69e361c06596246b915BA7eBaEbD0C1",https://arweave.net/069q53MnDwGjnq9pGHP9Ps-lXtMgoX6U-rJmwarQ3cg
clu0r6gge0000qx1n2qju0mtx,"6c71b213-b704-4b44-ae54-050f16d74c67",Tom Sawyer,"0xC47503BE3ecD3915DF41Ec5FE8a91879794CbADf",https://arweave.net/DUWz5tI8JS17UWsczWLfdnsrrJMG4-v4SMdJuQ27w-Q
clu0r6ggf0001qx1nf0xc5isl,"6c71b213-b704-4b44-ae54-050f16d74c67",Tom,"0x78e6223bfAe7578Df8FeD720Cd969195fb9FD47B",https://arweave.net/qEMcOhSMT3SUk6KFQH47nDLfZ8xWRqJJM2tYJdnD4Ms
clu0rwrkg0000h51n8nsw1nko,b88f1260-fba2-4480-9f20-9688d752519f,Dorothy,"0x51E57787199c4b3C14895804E88Dea81a4855428",https://arweave.net/B8PUCyedxbVyaAqS7Q6bA2lzvI03AJaPF1LOMHGL85Q
clu0rwrkh0001h51n0x1se2z6,b88f1260-fba2-4480-9f20-9688d752519f,Em,"0x7601858d124568375b474feA91a1bC156e4C14dD",https://arweave.net/lqZ5dXrGWSF9h5F919luujqIlznhndOV7bzBx04GuRg
clu0rwrkh0002h51n6hb1egws,b88f1260-fba2-4480-9f20-9688d752519f,Glinda,"0xA5b1447CF577679968c1FA3E6d2E86ebD3359Ea2",https://arweave.net/EQE4Qh8L9Arr2Jmu9Mtbi6g5bNwWFJfrmGlJAVDlNdc
